"iso","name","fao_treecover_deforest__ha","fao_reforestation__ha","fao_expansion__ha","year"
"AFG","Afghanistan","",550,"","2015-2020"
"ALB","Albania","","","","2015-2020"
"DZA","Algeria",5400,42000,4000,"2015-2020"
"ASM","American Samoa","","","","2015-2020"
"AND","Andorra","","",0,"2015-2020"
"AGO","Angola","",0,"","2015-2020"
"AIA","Anguilla","","","","2015-2020"
"ATG","Antigua and Barbuda","","","","2015-2020"
"ARG","Argentina",134800,16630,3E+4,"2015-2020"
"ARM","Armenia","","","","2015-2020"
"ABW","Aruba",0,"",0,"2015-2020"
"AUS","Australia","","","","2015-2020"
"AUT","Austria",5810,3600,9400,"2015-2020"
"AZE","Azerbaijan",86360,6E+4,100520,"2015-2020"
"BHS","Bahamas","",0,"","2015-2020"
"BHR","Bahrain",0,"",20,"2015-2020"
"BGD","Bangladesh",0,0,0,"2015-2020"
"BRB","Barbados","","","","2015-2020"
"BLR","Belarus",3500,37240,30320,"2015-2020"
"BEL","Belgium",1500,3350,1500,"2015-2020"
"BLZ","Belize",11160,"",0,"2015-2020"
"BEN","Benin","",8000,"","2015-2020"
"BMU","Bermuda","","","","2015-2020"
"BTN","Bhutan",430,200,2410,"2015-2020"
"BOL","Bolivia (Plurinational State of)",242540,3000,3850,"2015-2020"
"BES","Bonaire, Sint Eustatius and Saba","",0,"","2015-2020"
"BIH","Bosnia and Herzegovina","",2580,"","2015-2020"
"BWA","Botswana","","","","2015-2020"
"BRA","Brazil",1695700,257130,242660,"2015-2020"
"VGB","British Virgin Islands","","","","2015-2020"
"BRN","Brunei Darussalam","","","","2015-2020"
"BGR","Bulgaria",0,11440,12000,"2015-2020"
"BFA","Burkina Faso","",13210,"","2015-2020"
"BDI","Burundi",0,0,0,"2015-2020"
"CPV","Cabo Verde",820,"",1120,"2015-2020"
"KHM","Cambodia","",37580,"","2015-2020"
"CMR","Cameroon",58000,"",2000,"2015-2020"
"CAN","Canada",37520,427160,0,"2015-2020"
"CYM","Cayman Islands",0,0,0,"2015-2020"
"CAF","Central African Republic",3E+4,5760,0,"2015-2020"
"TCD","Chad","",300,"","2015-2020"
"CHL","Chile",9400,84310,132320,"2015-2020"
"CHN","China",133200,272740,2069989.9999999998,"2015-2020"
"COL","Colombia",199230,496910,680,"2015-2020"
"COM","Comoros","","","","2015-2020"
"COG","Congo",13800,0,0,"2015-2020"
"COK","Cook Islands","","","","2015-2020"
"CRI","Costa Rica",0,2110,16370.000000000002,"2015-2020"
"HRV","Croatia",50,900,3470,"2015-2020"
"CUB","Cuba",0,0,11600,"2015-2020"
"CUW","Curaçao","",0,"","2015-2020"
"CYP","Cyprus","",310,"","2015-2020"
"CZE","Czechia","",19570,"","2015-2020"
"CIV","Côte d'Ivoire","",17740,"","2015-2020"
"PRK","Democratic People's Republic of Korea",23190,"",1960,"2015-2020"
"COD","Democratic Republic of the Congo","","","","2015-2020"
"DNK","Denmark",620,3580,1370,"2015-2020"
