"iso","tropical_tree_cover_extent_2020_ha","area__ha"
"ARG",14886.73042654653461862,18513.00021959756987306
"AUS",48454.07792286256890018,82721.22148151610503373
"BGD",1408.56851196987430863,2314.82898820792121718
"BLZ",2.35514824937934054,4.48949509221788234
"BRA",4304099.12517512032381133,6559828.10149533375801081
"CHL",216.06154637174693745,1197.69034682170155603
"CHN",4841810.77743191225626765,5814391.36119830728985778
"CIV",14911.33611088337563743,19821.81130731855473518
"CMR",85167.79372980428194355,126095.55510257335136081
"COD",156250.29192537090543002,180159.16677478151798497
"COL",404988.08569155525669669,577932.02227489727211470
"CRI",81989.16492291959957534,103242.14782872865475232
"ECU",101448.63232459410279936,134697.33782269379124700
"GAB",8395.32395913136429499,8608.42465594459646765
"GHA",30661.18682062247949397,32673.20424390425454725
"GTM",121925.40002315642570349,138653.22142461663321882
"HKG",0.28484755035698783,0.28484755035698783
"HND",332645.18892649698137630,363921.97059149021848559
"IDN",22349736.33537345839333902,25587683.52395722533331687
"IND",6065260.49595759495572466,7454561.83207227684720316
"KEN",144895.90900879699987493,195843.53281725251270041
"KHM",452214.30437651154182374,908969.60339084774072010
"LAO",26.92514794109646411,41.15862175027072633
"LBR",115763.72719916021149668,143235.68937088368368211
"LKA",5674.58416617811896126,6152.51988424487194003
"LSO",13.69804896443793434,19.26891188060329997
"MEX",725338.86830031579534945,1050302.54196193909253833
"MMR",1133699.79648338612238491,1441668.25582410507988987
"MOZ",63.65456702221028257,100.53999301105143654
"MWI",61163.45240588586287427,137292.87280456290789521
"MYS",8915042.44841671282349260,10600145.48098482712543838
"NGA",31626.68787745822927997,39589.67377439753401754
"NIC",6142.99960472484276719,6860.54382885940298241
"PAN",6533.68926540368783510,7421.91508113954976743
"PER",74513.94657937610729510,100258.49169808250690543
"PHL",5778063.41620539992035267,6774325.60552478060682980
"PNG",333678.23678127465423215,422562.48203023381144927
"PRY",45.62769137961811027,45.62769137961811027
"RWA",137324.53297702219272666,285415.51475974245392847
"SLB",6959.90557532342248815,8554.49947836460772442
"SWZ",829.15580704746149835,1255.67659660293007344
"THA",215465.21049144332206640,344344.84143983759829413
"TZA",27.27590472520209613,46.48419840764702957
"VEN",15014.29571964470480359,21669.60087193345493943
"VNM",2244217.63915860227111485,2892871.28503368700755134
"ZAF",1325171.97500962962896788,2148652.15591067088725144
