"iso","area__ha"
"RUS",13515643614.838220145048763168
"CAN",7867383951.503237289530649106
"BRA",7589829074.97945096037881542
"USA",7578364881.986039402118410542
"CHN",7545695687.041334830008714438
"AUS",6296321039.836624149985054018
"IND",2697503197.93215881629392563
"ARG",2234966075.104026631695114418
"KAZ",2184424289.794517160264397676
"COD",2092104932.58633254566129300
"DZA",1846435018.459801861774919800
"IDN",1691208097.62729689260328890
"MEX",1649543963.31700937704617097
"SDN",1594549966.09660540828196472
"SAU",1542536808.91592890895193507
"IRN",1297391222.719965795321363112
"LBY",1292849478.7835477945494496
"MNG",1252997956.039944603798532188
"PER",1154486647.52675929490978528
"AGO",1118641960.53301846274589883
"TCD",1080725976.03954832229946186
"MLI",1063146666.33605015638112215
"ZAF",1058692212.16275029850119467
"COL",1018126811.44996773701957658
"ETH",1000105561.03744076032994138
"NER",990424765.22885820757589844
"BOL",967993307.09014648875189696
"MRT",856738322.95588275188366716
"TZA",840868390.72087752138116379
"VEN",817516965.12325136823029895
"NGA",817292153.70931795245756677
"EGY",787011515.46554443306593646
"MOZ",707585024.43842266253570368
"PAK",699345852.97237357728850112
"NAM",686953607.54667921902095616
"ZMB",673940096.53022019319142509
"TUR",624562727.120117938240165576
"CHL",614051000.618923585332807828
"MMR",601495659.85783236955555216
"SSD",564929191.48725327298949144
"CAF",557149315.85944279991648015
"SOM",532739600.03325207837546587
"MDG",531970174.26416724320628274
"KEN",526177986.63272046609921682
"AFG",515085723.09106946056762504
"BWA",485997115.31040596403339771
"UKR",481088877.66573006080572948
"THA",462185770.99372419402618185
"FRA",439611980.25827825532815288
"CMR",419189122.09917845542766006
"PNG",415774418.36427205485897815
"ESP",404834230.728628583301866108
"TKM",391673676.43372069964973872
"YEM",373507603.42234550949622615
"SWE",360036464.852409712728859256
"PRY",359212028.70751968832226398
"UZB",358043104.80157535133628660
"IRQ",356286917.55209805360917374
"ZWE",351373482.50303856018059100
"MAR",330790138.80639170150696614
"COG",307353173.31470971809601936
"JPN",297922613.253975470117852912
"XCA",297265069.69246471641071952
"MYS",296188515.36730261637166620
"VNM",295689155.31502434091522216
"CIV",289316586.31582777792535768
"DEU",286270847.895530832289553540
"FIN",269551343.92750479512684744
"PHL",265784828.04017413888563755
"NOR",260097768.206607412745398380
"POL",249919342.40076419562706984
"OMN",247466192.69160984909249852
"BFA",245965844.42268687755662805
"ITA",240603542.271801090118250908
"GAB",237667246.54979750225061674
"ECU",227857926.59619370933580753
"GIN",220328503.98678158339203105
"GHA",214206048.03006525513962870
"UGA",214144533.62285122566098396
"ESH",213856476.4172780464280968
"NZL",213732600.995113360015506554
"LAO",206939178.92006721373976576
"GBR",196387980.921238861814902008
"ROU",190670349.110234060391366720
"GUY",186843285.16156614183454239
"SEN",177109967.69409524734629325
"BLR",165655296.70468367175986264
"KHM",163012899.93419001545839004
"KGZ",158919189.6308070342563164
"SYR",149534387.13707598057328308
"URY",141972594.75478328509078134
"SUR",131246746.67019535373819143
"BGD",125181619.06944566449761531
"TUN",123891666.16762425859500112
"NPL",118129996.35525948272065766
"NIC",114521428.52430249321504117
"TJK",113690363.24576294887345428
"GRC",106060043.287853994456383588
"ERI",105260911.99555409840689946
"MWI",104084791.00291690855046352
"BEN",103869515.21852960320359770
"HND",100888076.05348831698248218
"CUB",99379694.02576159520128601
"GRL",99278150.475304168479944
"PRK",98204153.108698915572176404
"GTM",98057926.03634345513055980
"BGR",89269847.639372760042829792
"LBR",86246253.22808869963117734
"ISL",81779406.6364713724904
"KOR",80182638.335794169948440108
"GUF",74481166.39156589092346039
"HUN",74442109.95541797120238366
"PRT",71644045.425462669203957420
"JOR",71295034.41048822262417912
"AZE",68988260.314148862981573232
"PAN",67393947.20155441595911118
"AUT",67086415.24400157295534536
"SLE",65323908.82326286230660953
"CZE",63068471.087793027207645528
"SRB",62585123.93142661389558053
"LKA",59226339.14471645084050335
"ARE",56963583.22119286464160576
"IRL",56293157.167502372820957560
"GEO",55875659.09338619109477526
"LTU",52013303.514832911570381528
"LVA",51767970.08739723798035778
"TGO",51290039.12443276931089623
