"plantation_type","gain_area_ha"
"Fruit",221515.557571644171283260
"Fruit Mix",153472.67382656683704591
"Oil Palm",2701002.86929283547357816
"Oil Palm Mix",249026.44368847277376981
"Other",7606.642715236189936450
"Rubber",116980.71492670575656441
"Rubber Mix",392744.71543759037440585
"Unknown",2253243.015518011492934583
"Unknown Mix",46907.09990932718920492
"Wood fiber / Timber",6132543.133589395181313508
"Wood fiber / Timber Mix",10007.44246946078339268
"Outside of Plantations",118557669.632400346844283874
